Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Date,Time,,,,,,,,,,,,,,,,,,,
10620459.86,611328,10236849.64,101472,7.02,14/01/2023,18:33:00,,,,,,,,,,,,,,,,,,,
10718239.56,611328,11593142.41,101472,7.05,14/01/2023,18:36:00,,,,,,,,,,,,,,,,,,,
10537302.63,611328,9876435.2,101472,7.02,14/01/2023,18:40:00,,,,,,,,,,,,,,,,,,,
10574473.8,611328,9861827.67,101472,7.03,14/01/2023,18:43:00,,,,,,,,,,,,,,,,,,,
10566245.6,611328,11585552.53,101472,7.05,14/01/2023,18:47:00,,,,,,,,,,,,,,,,,,,
10557819.28,611328,10497115.89,101472,7.04,14/01/2023,18:50:00,,,,,,,,,,,,,,,,,,,
10496101.34,611328,11701111.42,101472,7.03,14/01/2023,18:54:00,,,,,,,,,,,,,,,,,,,
9713052.798,611328,13654355.53,101472,7.7,14/01/2023,18:58:00,,,,,,,,,,,,,,,,,,,
10109990.72,611328,20491559.13,101472,7.34,14/01/2023,19:01:00,,,,,,,,,,,,,,,,,,,
10376792.41,611328,9872824.779,101472,7.32,14/01/2023,19:05:00,,,,,,,,,,,,,,,,,,,
10532695.52,611328,10465610,101472,7.36,14/01/2023,19:09:00,,,,,,,,,,,,,,,,,,,
10740949.99,611328,10203572.21,101472,7.31,14/01/2023,19:12:00,,,,,,,,,,,,,,,,,,,
10554525.88,611328,9870950.425,101472,7.36,14/01/2023,19:16:00,,,,,,,,,,,,,,,,,,,
10453875.17,611328,10282646.78,101472,7.32,14/01/2023,19:20:00,,,,,,,,,,,,,,,,,,,
10590064.47,611328,10396007.59,101472,7.32,14/01/2023,19:23:00,,,,,,,,,,,,,,,,,,,
10556894.82,611328,15906312.87,101472,7.33,14/01/2023,19:27:00,,,,,,,,,,,,,,,,,,,
10418363.08,611328,10204821.17,101472,7.32,14/01/2023,19:31:00,,,,,,,,,,,,,,,,,,,
11331872.65,611328,9606092.37,101472,6.4,14/01/2023,16:17:00,,,,,,,,,,,,,,,,,,,
11892802.84,611328,10100627.77,101472,6.68,14/01/2023,16:13:00,,,,,,,,,,,,,,,,,,,
11105386.97,611328,11325663.47,101472,6.41,14/01/2023,16:20:00,,,,,,,,,,,,,,,,,,,
10928596.87,611328,11188098.86,101472,6.4,14/01/2023,16:23:00,,,,,,,,,,,,,,,,,,,
11001482.47,611328,10573295.26,101472,6.44,14/01/2023,16:26:00,,,,,,,,,,,,,,,,,,,
10910756.95,611328,10718232.34,101472,6.44,14/01/2023,16:30:00,,,,,,,,,,,,,,,,,,,
11002219.17,611328,20716322.01,101472,6.46,14/01/2023,16:33:00,,,,,,,,,,,,,,,,,,,
10816205.79,611328,15188496.02,101472,6.42,14/01/2023,16:36:00,,,,,,,,,,,,,,,,,,,
11161993.82,611328,10126370.9,101472,6.45,14/01/2023,16:39:00,,,,,,,,,,,,,,,,,,,
11055398.58,611328,10069066.32,101472,6.46,14/01/2023,16:42:00,,,,,,,,,,,,,,,,,,,
11812519.8,611328,11147749.55,101472,7.98,14/01/2023,16:47:00,,,,,,,,,,,,,,,,,,,
11239862.21,611328,9845570.107,101472,7.65,14/01/2023,16:50:00,,,,,,,,,,,,,,,,,,,
10911169.37,611328,9869461.337,101472,7.64,14/01/2023,16:54:00,,,,,,,,,,,,,,,,,,,
10997854.99,611328,13977061.96,101472,7.66,14/01/2023,16:58:00,,,,,,,,,,,,,,,,,,,
11001515.38,611328,9889749.611,101472,7.64,14/01/2023,17:02:00,,,,,,,,,,,,,,,,,,,
11090445.96,611328,11769351.27,101472,7.66,14/01/2023,17:06:00,,,,,,,,,,,,,,,,,,,
11067989.45,611328,17916384.58,101472,7.64,14/01/2023,17:10:00,,,,,,,,,,,,,,,,,,,
10920453.65,611328,12573175.78,101472,7.66,14/01/2023,17:13:00,,,,,,,,,,,,,,,,,,,
11205074.39,611328,9910904.88,101472,7.66,14/01/2023,17:17:00,,,,,,,,,,,,,,,,,,,
10995446.48,611328,9897192.274,101472,7.64,14/01/2023,17:21:00,,,,,,,,,,,,,,,,,,,
12009550.05,611328,11933115.09,101472,7.94,14/01/2023,17:25:00,,,,,,,,,,,,,,,,,,,
11040237.59,611328,9975310.978,101472,7.61,14/01/2023,17:29:00,,,,,,,,,,,,,,,,,,,
10928134.48,611328,11122866.35,101472,7.63,14/01/2023,17:33:00,,,,,,,,,,,,,,,,,,,
11166005.45,611328,19106348.35,101472,7.66,14/01/2023,17:37:00,,,,,,,,,,,,,,,,,,,
10899701.55,611328,10991325.27,101472,8.07,14/01/2023,17:41:00,,,,,,,,,,,,,,,,,,,
10934799.34,611328,10957248.51,101472,8.07,14/01/2023,17:45:00,,,,,,,,,,,,,,,,,,,
10972818.64,611328,13656081.56,101472,8.1,14/01/2023,17:49:00,,,,,,,,,,,,,,,,,,,
11064802.95,611328,12436827.77,101472,8.14,14/01/2023,17:53:00,,,,,,,,,,,,,,,,,,,
10737060.08,611328,9870223.084,101472,8.14,14/01/2023,17:57:00,,,,,,,,,,,,,,,,,,,
